CODIGO_CARRERA,AVERAGE_CIEN,AVERAGE_M1,AVERAGE_M2,AVERAGE_HCS
15300,49,54,27,37
15301,47,54,27,41
15302,49,50,20,41
15303,47,49,20,31
15311,49,54,27,39
15312,43,50,21,33
15330,50,53,27,40
15340,51,53,27,39
15350,52,51,25,34
15360,50,55,27,39
15361,41,48,20,37
15380,38,46,18,35
15381,37,44,16,30
15384,53,55,29,44
15440,27,33,12,26
15441,35,35,13,29
15462,34,42,16,29
15474,24,30,13,25
15485,43,46,18,33
15540,27,30,10,25
15562,33,38,14,27
15574,25,24,10,18
15585,36,38,13,34
16001,40,46,19,32
16003,46,51,24,35
16004,48,51,24,38
16005,43,46,20,30
16006,41,45,16,32
16007,42,48,19,32
16008,39,47,20,29
16009,44,44,18,33
16011,36,38,14,24
16013,37,44,16,29
16014,45,50,21,40
16015,35,38,13,32
16016,27,35,12,23
16017,32,37,13,24
16019,38,41,15,31
16021,28,35,11,34
16030,42,40,15,36
16034,31,33,12,40
16035,34,42,15,34
16036,31,39,13,30
16038,30,38,13,31
16039,49,48,18,37
16040,31,30,11,32
16041,48,45,19,36
16042,47,49,21,41
16043,38,35,13,44
16044,41,39,14,34
16045,33,44,15,27
16046,35,41,16,26
16047,40,48,22,38
16048,37,44,18,30
16049,38,48,20,36
16050,32,32,11,40
16051,26,35,11,45
16052,28,36,11,38
16053,22,35,10,40
16054,36,42,16,43
16055,29,32,9,37
16056,29,32,13,32
16057,32,37,9,45
16058,16,32,11,45
16060,39,42,18,44
16066,31,33,11,33
16067,31,31,12,24
16068,30,32,13,29
16070,36,41,13,37
16080,26,28,10,28
16081,29,32,11,26
16082,28,28,12,26
16085,29,33,11,25
16086,24,27,10,24
16089,25,28,11,25
16091,66,57,31,45
16092,47,44,16,33
16093,48,45,16,34
16095,27,30,11,24
16096,32,31,13,27
16097,34,39,11,31
16098,42,40,12,32
16099,30,30,10,24
16100,37,38,14,45
16101,44,44,16,33
16102,39,42,17,34
16103,41,46,17,30
16104,47,47,19,36
16105,34,36,14,26
16106,27,34,11,35
16107,37,42,16,37
16108,47,48,19,43
16109,35,36,12,34
16110,26,31,13,28
17000,30,31,12,29
17001,35,35,13,31
17002,38,38,13,27
17003,28,33,11,28
17004,32,41,14,25
17005,37,40,12,29
17008,37,43,17,32
17009,30,37,13,31
17013,66,59,34,42
17014,43,42,15,30
17015,36,35,12,27
17028,42,42,15,31
17029,23,31,11,37
17030,36,42,17,37
17031,66,56,31,40
17032,30,29,11,26
17033,35,41,14,35
17034,44,42,16,31
17036,37,40,17,28
17037,22,31,11,23
17040,32,38,14,33
17052,34,41,16,28
17053,28,30,12,20
17054,24,27,10,27
17056,27,30,10,36
17065,30,31,13,32
17074,26,28,10,24
17076,34,37,11,29
17077,25,24,0,37
17078,27,34,13,29
17079,35,40,16,32
17082,32,36,13,44
17084,32,30,11,32
17085,30,30,9,31
17086,29,30,10,23
17087,25,25,8,23
17088,30,33,11,33
17089,39,40,13,29
17807,33,39,14,23
17808,25,28,4,24
17811,30,43,15,31
17814,23,27,6,29
17815,31,35,11,26
17816,36,39,23,0
17821,38,39,15,31
17822,35,43,16,33
17823,25,29,13,27
17825,31,32,12,27
17826,31,39,12,37
17827,30,29,12,26
17831,26,31,10,30
17832,25,27,12,23
17833,28,33,12,33
17834,27,31,10,29
