CODIGO_CARRERA,AVERAGE_CIEN,AVERAGE_M1,AVERAGE_M2,AVERAGE_HCS
41000,29,34,12,27
41002,30,31,12,29
41003,25,28,7,28
41005,43,39,15,30
41006,41,39,15,26
41007,38,34,11,35
41008,28,27,11,23
41009,33,35,13,26
41010,28,27,11,27
41011,43,44,19,37
41012,39,41,16,26
41013,43,42,15,34
41015,32,34,13,36
41016,27,33,10,32
41017,23,28,11,27
41019,28,27,9,30
41020,26,29,10,28
41021,28,30,12,35
41022,36,35,13,29
41023,41,34,17,30
41024,37,40,13,41
41026,33,33,12,27
41027,28,35,12,29
41028,30,33,12,28
41029,28,34,11,28
41030,30,35,12,31
41031,30,34,13,28
41032,35,34,12,27
41034,27,32,11,26
41037,23,27,9,21
41039,0,28,0,37
41040,27,32,0,38
41041,25,29,7,29
41042,23,31,13,31
41043,36,37,15,33
41044,34,40,14,27
41045,35,41,15,30
41046,34,40,14,28
41047,37,40,15,26
41048,31,36,13,27
41049,28,36,12,25
41055,31,37,14,26
41056,68,58,33,40
41057,27,29,11,24
41058,42,40,15,32
41059,34,33,13,26
41060,36,35,12,25
41061,28,32,11,27
41064,46,43,15,47
41066,31,34,12,23
41067,27,28,13,24
41068,30,30,12,32
41070,23,23,8,25
41071,25,28,13,32
41072,41,39,36,31
41075,25,37,11,26
41076,25,33,11,27
41077,26,30,11,24
41078,34,33,11,24
41080,24,29,13,26
41081,22,30,0,22
41082,29,29,10,26
41086,28,27,6,28
41087,24,23,0,22
41088,37,40,15,31
41089,31,38,13,27
41090,32,35,12,30
41091,33,37,13,30
41095,66,57,31,37
41096,28,31,12,23
41097,38,38,13,26
41098,31,32,11,26
41099,37,37,13,30
41102,29,31,11,25
41103,23,24,10,21
41104,28,29,11,29
41106,24,29,10,32
41107,26,29,12,28
41109,29,31,12,29
41111,29,31,11,22
41116,26,28,10,25
41118,37,37,14,30
41121,32,37,13,30
41123,28,34,12,25
41125,25,27,10,23
41126,33,34,12,23
41127,35,35,13,26
41129,27,33,12,28
41130,30,35,12,25
41134,26,31,12,21
41136,30,29,11,23
41138,31,33,13,35
41139,36,37,15,32
41156,25,26,6,20
41159,37,38,12,26
41162,35,38,13,30
41163,28,28,10,19
41164,66,58,30,42
41165,33,34,11,28
41167,39,38,15,29
41168,40,40,12,26
41169,41,40,14,21
41197,31,31,13,27
41199,28,30,12,24
41200,26,30,11,26
41201,30,30,11,21
41203,29,30,12,33
41204,33,41,14,25
41206,35,40,14,29
41207,32,41,15,29
41208,29,35,14,21
41209,26,30,11,26
41210,27,30,12,29
41211,26,35,13,28
41212,38,37,15,28
41213,39,39,14,28
41214,40,38,16,28
41215,36,34,13,32
42001,44,52,23,43
42002,49,54,26,39
42003,33,40,15,46
42004,45,44,18,44
42005,36,35,12,38
42011,32,45,16,35
42012,37,46,18,32
42021,39,46,18,39
42022,46,51,23,37
42023,31,36,12,41
42024,40,41,16,41
42025,36,36,13,38
42101,47,51,21,40
42103,49,55,28,49
42121,38,44,16,33
42122,43,51,24,39
42202,51,52,26,40
43001,67,59,34,43
43002,42,43,16,30
43003,36,45,17,29
43004,31,34,9,0
43005,37,50,19,36
43006,31,35,16,38
43007,39,40,18,45
43010,43,54,26,42
43012,42,49,20,51
43013,53,56,29,38
43014,70,60,38,48
43015,43,47,18,35
43016,39,42,18,27
43017,38,41,15,26
43018,59,55,24,41
43019,37,45,17,33
43020,29,34,13,32
43023,31,32,13,29
43024,49,50,20,38
43025,56,54,27,46
43026,29,47,30,50
43027,41,42,17,46
43028,34,36,0,43
43030,38,38,14,35
43032,50,51,24,33
43034,42,47,18,44
43035,35,35,12,21
43036,39,41,16,39
43037,30,38,16,39
43038,36,43,14,40
43039,37,44,21,39
43040,53,56,29,48
43041,0,50,0,53
44001,41,44,17,36
44003,43,37,20,38
44004,26,35,14,35
44005,27,35,14,33
44006,31,36,14,44
44007,38,44,19,38
44008,39,46,18,36
44009,27,36,13,29
44010,34,36,15,36
44011,32,33,17,32
44012,28,30,11,27
44013,29,35,14,45
44014,39,44,17,31
44015,44,51,22,35
44016,41,40,15,32
44017,26,30,13,21
44018,36,39,16,32
44019,68,59,36,48
44020,33,36,13,26
44021,49,48,18,34
44022,40,41,17,30
44023,46,46,20,44
44024,34,41,16,33
44025,26,38,11,37
44026,35,34,12,38
44027,33,39,21,33
44028,33,41,16,34
44031,39,47,19,32
44032,30,30,10,27
44034,32,35,13,25
44035,35,35,10,17
44036,37,38,15,29
44037,38,38,16,36
44039,38,45,17,29
44041,46,48,21,38
44042,19,28,12,31
44043,38,43,17,28
44044,37,37,14,30
44045,38,40,13,28
44046,47,52,23,31
44047,38,47,16,34
44048,42,53,22,43
44049,49,52,23,38
44050,24,30,10,27
45001,27,30,11,25
45002,26,27,7,32
45004,24,28,9,31
45005,38,41,16,40
45006,23,25,9,31
45008,27,29,12,24
45009,28,32,11,40
45010,23,24,13,30
45011,25,25,11,34
45014,23,27,11,32
45016,23,23,10,21
45017,28,32,14,41
45018,25,33,7,33
45019,25,29,9,31
45020,27,27,10,37
45021,26,28,13,30
45024,30,32,9,38
45025,28,31,11,29
45028,43,31,10,36
45029,35,45,16,29
45031,28,29,9,37
45033,26,30,8,37
45034,21,26,8,34
45035,26,29,10,29
45036,31,33,11,41
45037,24,29,12,31
45038,26,28,11,25
45039,33,22,8,22
45041,25,29,10,24
45046,29,32,12,27
46101,26,27,11,26
46103,23,23,10,19
46104,25,27,11,24
46105,26,27,13,29
46106,24,27,8,37
46107,25,29,11,26
46108,24,29,12,29
46109,23,38,12,29
46110,25,28,9,26
46201,31,26,0,22
46301,24,24,9,23
46302,23,27,12,30
46303,25,32,11,24
46304,23,29,10,24
46305,26,29,11,31
46306,24,27,10,29
46401,27,28,10,21
46402,24,25,9,21
46403,27,28,11,22
46500,34,29,11,27
46501,28,33,11,23
46502,27,34,11,24
46504,25,36,14,27
47001,24,26,10,23
47002,26,30,11,28
47003,28,30,9,30
47004,26,27,11,29
47005,31,39,14,27
47006,25,27,11,23
47007,30,31,10,22
47101,25,29,10,22
47131,29,29,10,26
47151,32,33,11,26
47201,34,40,15,27
47301,36,35,12,25
47302,65,57,30,47
47303,31,31,11,24
47304,32,32,10,24
47305,36,36,13,27
47306,43,42,15,29
47401,27,29,11,29
47431,30,33,12,39
47461,31,35,12,30
47462,27,32,11,26
47491,37,38,14,38
48001,28,27,11,24
48002,26,29,10,24
48004,32,32,13,27
48005,21,22,12,16
48006,30,30,11,0
48008,24,23,13,27
48009,26,26,11,28
48010,28,32,13,11
49001,39,38,13,33
49002,29,28,10,22
49003,34,35,11,30
49004,65,57,28,48
49005,32,33,11,26
49006,45,43,14,34
49007,44,42,14,35
49008,46,45,16,37
49009,29,29,10,26
49010,30,33,12,26
49011,26,31,11,25
49012,30,32,11,35
49013,25,28,12,30
49014,37,35,13,38
49015,28,30,10,29
49016,32,36,12,27
49017,32,38,13,29
49022,32,33,12,25
49023,25,27,12,28
49101,36,34,11,32
49102,24,26,9,23
49103,31,34,11,27
49104,28,29,10,23
49105,27,28,10,25
49106,26,30,12,23
49107,29,34,12,26
49108,26,27,11,31
49109,32,32,12,35
49110,24,25,11,25
49111,23,29,9,25
49112,26,31,11,23
49113,22,25,10,20
49114,25,27,8,27
49119,25,29,10,27
49201,37,36,12,30
49202,26,28,13,22
49203,33,35,12,26
49204,64,56,26,49
49205,38,39,12,30
49206,40,40,13,29
49207,31,29,10,27
49208,25,30,11,22
49209,24,30,12,25
49210,25,30,11,23
49211,28,31,11,34
49212,31,32,10,32
49213,24,27,9,24
49214,26,30,10,24
49215,27,30,11,23
49216,24,25,10,23
49217,27,28,10,35
49218,27,29,12,29
49219,25,25,10,26
49220,27,35,11,24
49222,31,34,12,25
49223,28,29,11,30
49224,25,27,10,25
49225,23,27,11,27
49229,27,26,11,30
49231,28,35,13,28
49301,33,35,11,28
49302,26,25,9,26
49303,33,33,12,29
49304,28,30,11,25
49305,39,39,13,24
49306,42,41,13,33
49307,28,28,10,25
49308,32,38,12,33
49309,26,31,11,23
49310,29,36,13,28
49311,27,30,11,27
49313,28,31,11,35
49314,32,31,10,32
49316,26,26,11,27
49317,25,25,12,26
49318,25,29,6,26
49319,28,28,10,25
49320,28,28,8,30
49321,31,35,14,27
49327,24,26,12,23
49328,24,29,10,28
49330,32,34,11,28
49332,26,25,12,26
50101,29,34,12,27
50102,27,28,11,31
50104,35,40,13,25
50105,27,32,12,23
50106,28,36,13,25
50107,31,36,13,23
50108,26,32,11,26
50110,35,38,15,27
50112,25,27,7,25
50115,27,27,13,27
50116,27,23,0,25
50118,22,27,13,24
50119,46,43,18,27
50121,31,32,11,24
50122,27,25,10,24
50124,29,31,12,25
50125,63,57,29,40
50126,26,27,9,20
50127,38,38,14,26
50128,31,31,14,33
50129,40,40,15,33
50130,33,34,12,24
50131,26,28,12,22
50132,29,30,11,33
50133,33,33,11,27
50135,33,34,13,29
50137,23,28,13,26
50138,49,39,16,37
50140,29,29,8,30
50201,29,35,11,26
50202,27,30,10,33
50206,33,41,15,28
50207,37,42,16,28
50208,27,35,13,27
50210,32,34,12,26
50212,24,27,9,24
50215,26,29,7,29
50219,43,42,17,29
50221,29,30,11,26
50222,24,27,11,20
50223,30,29,12,27
50224,31,32,9,27
50225,60,55,24,43
50226,28,28,11,22
50227,32,33,12,25
50228,28,29,11,31
50229,39,39,13,29
50230,30,32,11,27
50231,27,28,14,24
50232,26,32,9,32
50233,30,31,12,26
50502,24,28,10,31
50508,30,33,12,26
50510,29,31,12,23
50519,39,38,20,28
50521,28,28,10,24
50522,22,22,5,22
50524,28,30,10,25
50525,62,56,25,38
50526,27,28,10,29
50527,30,33,11,24
50528,28,28,11,30
50529,33,33,13,29
50530,32,31,12,25
50531,24,26,11,24
50801,29,32,11,28
50802,26,28,10,32
50803,23,30,9,20
50804,34,39,14,27
50805,28,34,12,24
50806,32,39,14,28
50807,30,37,13,26
50808,29,34,12,26
50810,32,33,12,27
50811,28,31,11,27
50812,25,24,10,23
50813,28,31,12,24
50815,26,30,11,30
50816,0,27,10,43
50832,27,27,12,32
50833,32,32,12,27
50835,29,31,10,31
50919,45,41,17,34
50920,38,37,13,27
50921,35,35,12,31
50922,26,27,10,24
50923,34,33,15,31
50924,28,29,11,24
50925,68,59,34,41
50926,27,28,11,25
50927,38,38,13,29
50928,32,34,12,33
50929,46,44,16,33
50930,34,34,13,27
50931,26,26,10,25
50937,24,27,13,28
50938,30,25,8,41
50939,30,31,12,35
50940,23,29,11,33
51100,25,28,9,32
51101,30,29,11,34
51110,28,31,11,28
51111,25,27,11,20
51120,24,26,10,27
51121,24,27,8,25
51130,26,29,11,33
51140,29,29,11,31
51141,28,25,11,31
51142,22,24,11,23
51150,31,32,11,26
51151,33,32,12,27
51152,24,25,10,23
51153,27,26,10,23
51154,27,29,10,25
51156,67,56,29,43
51160,24,29,11,24
51161,24,33,12,25
51163,27,28,11,22
51165,30,30,11,26
51170,30,31,10,27
51171,27,33,11,20
51172,25,28,10,16
51173,29,34,12,25
51174,26,32,11,24
51175,28,31,11,27
51180,23,26,9,21
51181,27,28,10,26
51182,24,26,8,22
51184,25,28,9,27
51185,30,43,17,31
51186,26,25,11,24
51200,25,29,12,30
51210,29,33,11,27
51230,26,28,9,31
51240,31,32,10,32
51241,24,26,11,31
51242,23,24,9,24
51250,32,34,12,27
51252,30,30,11,29
51253,30,31,11,29
51254,28,31,10,25
51255,36,38,12,28
51260,25,31,12,24
51273,32,39,14,30
51274,29,34,11,22
51275,27,32,11,23
51276,34,34,12,27
51282,25,27,9,23
51284,25,31,11,24
52010,28,27,12,35
52020,31,32,15,31
52070,27,27,12,31
52090,24,27,10,30
52100,25,25,11,31
52115,23,22,8,22
52140,31,29,0,36
52150,25,23,8,31
52175,29,28,11,29
52176,32,32,0,32
52258,30,29,10,32
52443,30,30,10,29
52445,27,29,7,29
52495,26,24,10,25
52497,23,27,4,28
52498,24,28,10,22
52504,28,29,11,26
52505,24,27,10,23
52506,23,23,9,20
52588,28,28,10,22
53101,26,29,11,24
53102,25,34,11,26
53103,28,30,10,26
53106,30,37,13,26
53107,39,36,12,28
53109,24,31,13,25
53110,27,32,11,26
53201,23,25,7,22
53202,24,28,12,23
53203,22,28,11,22
53204,21,26,9,23
53206,22,26,7,20
53207,24,26,10,22
53301,32,32,12,28
53302,23,23,10,17
53303,27,28,9,25
53304,26,27,9,22
53305,35,35,12,29
53306,34,34,12,30
53307,24,26,10,23
53309,30,30,11,22
53310,68,57,27,31
53401,28,28,10,31
53402,24,26,7,27
53403,30,31,12,30
53406,22,23,11,24
54101,26,34,12,31
54120,27,37,13,28
54121,31,38,13,28
54201,21,24,9,22
54202,25,29,12,26
54203,35,25,10,32
54204,33,30,15,26
54206,27,29,8,22
54301,27,27,10,26
54303,33,34,12,34
54304,0,23,0,41
54305,17,29,0,49
54309,22,26,0,28
54401,0,27,0,31
54404,0,26,10,22
55001,27,29,11,24
55004,32,35,13,30
55005,30,27,11,28
55006,24,27,11,32
55007,27,29,10,29
55008,30,32,11,35
55009,23,26,10,27
55010,26,27,10,28
55011,29,29,13,34
55012,34,36,13,34
55013,29,30,12,25
55014,36,38,11,28
55015,31,33,11,28
55016,36,37,12,27
55017,33,36,11,28
55019,28,29,10,25
55020,37,36,12,31
55021,34,35,12,27
55022,38,37,11,31
55023,31,31,10,24
55024,32,33,11,26
55026,26,27,8,23
55027,28,28,12,24
55028,23,29,11,24
55029,28,29,11,24
55030,34,34,11,29
55031,25,27,6,23
55032,30,34,12,27
55033,26,31,9,24
55034,32,34,12,28
55035,32,36,11,26
55036,32,33,11,27
55037,30,33,10,23
55038,29,32,11,25
55039,31,36,14,26
55040,34,36,10,26
55041,36,37,11,30
55042,36,37,14,33
55043,36,38,12,28
55044,34,35,12,31
55045,28,28,10,23
55046,28,32,11,26
55047,26,30,10,25
55048,29,29,10,30
55049,29,31,12,21
55050,26,27,9,25
55051,24,28,10,23
55052,26,28,13,21
55054,30,31,12,31
55055,30,29,11,31
55056,33,35,12,35
55057,29,32,10,29
55058,35,37,13,36
55059,34,34,14,33
55061,30,32,14,33
55062,34,34,11,35
55063,31,34,12,33
55064,31,33,11,32
55065,32,35,13,33
55066,32,34,12,24
55067,44,45,14,36
55069,33,33,11,28
55070,33,36,12,30
55071,37,35,12,36
55072,34,34,12,30
55074,29,29,12,25
55075,24,27,9,21
55076,30,31,12,31
55077,29,30,9,24
55079,24,26,0,22
55080,28,31,10,28
55081,25,27,8,25
55082,24,27,12,25
55083,30,30,11,23
55084,27,27,11,25
55085,27,27,9,25
55086,23,26,9,29
55088,27,33,12,24
55089,30,32,11,26
55090,32,32,11,27
55091,27,32,11,25
55092,28,30,11,34
55093,24,26,8,23
55094,22,24,11,20
55095,26,26,8,20
55097,24,25,11,22
55099,30,35,11,24
55100,25,33,11,24
55101,25,31,10,27
55102,25,31,11,23
55103,30,32,11,26
55104,28,29,12,25
55105,27,31,9,24
55106,26,28,12,26
55107,26,27,9,19
55108,26,25,11,22
55109,26,27,14,24
55110,33,32,12,24
55111,23,24,10,25
55112,24,24,8,27
55113,24,28,10,23
55114,26,27,9,28
55115,23,26,10,26
55116,25,28,12,21
55117,30,31,8,34
55118,25,24,10,20
55119,24,27,13,20
55120,33,39,13,32
55121,21,23,12,22
55122,24,27,12,30
56102,27,25,10,22
56103,30,32,14,31
56104,25,28,10,21
56106,24,27,9,21
56108,24,26,10,29
56110,28,28,11,22
56112,27,30,10,25
56114,23,30,10,22
56116,25,25,10,21
56117,23,26,8,21
56118,28,29,9,26
56119,24,26,10,20
56124,27,27,11,27
56125,24,28,10,24
56127,26,29,11,29
56128,30,29,11,24
56201,26,26,10,25
56205,26,28,10,28
56207,24,28,11,24
56208,22,25,10,25
56209,23,24,10,20
56210,26,26,9,22
56211,23,23,10,21
56213,27,31,10,23
56215,29,32,10,26
56216,24,26,10,21
56218,27,27,10,21
56219,25,24,9,23
56220,26,26,9,27
56221,23,27,9,20
56222,23,27,9,23
56223,24,25,8,26
56224,25,27,11,26
56226,25,24,10,23
56310,27,27,10,23
56314,23,29,10,22
56316,26,26,11,22
56318,27,28,10,22
56324,26,27,9,28
56410,26,26,11,20
56416,25,26,11,20
56418,26,26,10,23
56424,26,26,11,27
56508,25,26,9,29
56510,26,26,9,22
56511,22,24,10,19
56514,23,28,10,23
56516,24,27,10,25
56518,27,27,11,23
56519,24,25,10,20
56521,22,26,9,23
56524,26,29,9,30
56525,23,24,10,23
56527,24,24,12,26
56528,29,29,10,24
56608,24,26,9,24
56609,23,27,0,21
56610,28,28,10,23
56611,24,23,12,21
56614,28,31,10,23
56616,26,26,10,20
56618,28,26,10,25
56619,24,24,10,18
56621,23,25,9,23
56624,27,27,11,27
56625,21,24,11,19
56627,28,28,12,29
56702,23,27,8,22
56718,25,27,11,22
58001,25,29,11,22
58004,26,31,11,25
58013,28,30,11,30
58017,26,31,8,25
58019,27,31,12,27
58020,24,26,0,21
58023,21,24,0,26
58029,31,37,12,33
58036,27,29,9,23
58041,26,28,11,28
58113,28,29,12,28
58138,26,29,19,29
58148,34,34,12,26
58149,30,31,11,22
58150,27,26,11,22
58166,26,29,11,22
58182,28,30,9,34
58202,36,35,11,23
